HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0002018	OG0001762	n0	LOC126914540	LOC117204189	LOC122566699	LOC100650842
N0.HOG0002019	OG0001763	n0	LOC126914539	LOC117204188	LOC122566698	LOC100644800
N0.HOG0002020	OG0001764	n0	LOC126914515	LOC117204170	LOC122566690	LOC100644676
N0.HOG0002021	OG0001765	n0	LOC126914502	LOC117204190	LOC122566689	LOC100643686
N0.HOG0002022	OG0001766	n0	LOC126914538	LOC117204187	LOC122566697	LOC100644480
N0.HOG0002023	OG0001767	n0	LOC126914527	LOC117204179	LOC122566694	LOC100644050
N0.HOG0002024	OG0001768	n0	LOC126914529	LOC117204181	LOC122566695	LOC100644362
N0.HOG0002025	OG0001769	n0	LOC126914520	LOC117204171	LOC122566691	LOC100644247
N0.HOG0002026	OG0001770	n0	LOC126914513	LOC117204158	LOC122567108	LOC100643924
N0.HOG0002027	OG0001771	n0	LOC126914505	LOC117204146	LOC122567105	LOC100643035
N0.HOG0002028	OG0001772	n0	LOC126914530	LOC117204182	LOC122567114	LOC100643442
N0.HOG0002029	OG0001773	n0	LOC126914514	LOC117204159	LOC122567109	LOC100643566
N0.HOG0002030	OG0001774	n0	LOC126914508	LOC117204150	LOC122567107	LOC100643318
N0.HOG0002031	OG0001775	n0	LOC126914524	LOC117204177	LOC122567116	LOC110119219
N0.HOG0002032	OG0001776	n0	LOC126914526	LOC117204178	LOC122567112	LOC100642920
N0.HOG0002033	OG0001777	n0	LOC126914521	LOC117204172	LOC122567111	LOC100642561
N0.HOG0002034	OG0001778	n0	LOC126914531	LOC117204183	LOC122567115	LOC100642800
N0.HOG0002035	OG0001779	n0	LOC126914982	LOC117204160	LOC122566874	LOC100652227
N0.HOG0002036	OG0001780	n0	LOC126914983	LOC117204162	LOC122566875	LOC100642199
N0.HOG0002037	OG0001781	n0	LOC126914959	LOC117204163	LOC122566876	LOC100642321
N0.HOG0002038	OG0001782	n0	LOC126914958	LOC117204151	LOC122566869	LOC100642683
N0.HOG0002039	OG0001783	n0	LOC126914961	LOC117204166	LOC122566878	LOC100652111
N0.HOG0002040	OG0001784	n0	LOC126914222	LOC117204184	LOC122566882	LOC125384938
N0.HOG0002041	OG0001785	n0	LOC126914216	LOC117204175	LOC122566880	LOC100651753
N0.HOG0002042	OG0001786	n0	LOC126914186	LOC117204142	LOC122566864	LOC100651636
N0.HOG0002043	OG0001787	n0	LOC126914213	LOC117204167	LOC122566879	LOC100651518
N0.HOG0002044	OG0001788	n0	LOC126914202	LOC117204154	LOC122566870	LOC110119141
N0.HOG0002045	OG0001789	n0	LOC126914190	LOC117204147	LOC122566868	LOC100651034
N0.HOG0002046	OG0001790	n0	LOC126914229	LOC117204153	LOC122566872	LOC105667206
N0.HOG0002047	OG0001791	n0	LOC126914211	LOC117204164	LOC122566877	LOC100651278
N0.HOG0002048	OG0001792	n0	LOC126914188	LOC117204144	LOC122566866	LOC100649253
N0.HOG0002049	OG0001793	n0	LOC126914189	LOC117204145	LOC122566554	LOC105667205
N0.HOG0002050	OG0001794	n0	LOC126914223	LOC117204193	LOC122567197	LOC100650919
N0.HOG0002051	OG0001795	n0	LOC126914217	LOC117204203	LOC122566546	LOC100650804
N0.HOG0002052	OG0001796	n0	LOC126914215	LOC117204204	LOC122567165	LOC100650555
N0.HOG0002053	OG0001797	n0	LOC126914221	LOC117204062	LOC122566740	LOC100648895
N0.HOG0002054	OG0001798	n0	LOC126914192	LOC117204057	LOC122566737	LOC100647806
N0.HOG0002055	OG0001799	n0	LOC126914209	LOC117204061	LOC122566739	LOC105667204
N0.HOG0002056	OG0001800	n0	LOC126914212	LOC117204060	LOC122566741	LOC100649132
N0.HOG0002057	OG0001801	n0	LOC126914206	LOC117204059	LOC122566738	LOC100645315
N0.HOG0002058	OG0001802	n0	LOC126914201	LOC117204058	LOC122566736	LOC105667203
N0.HOG0002059	OG0001803	n0	LOC126914187	LOC117204055	LOC122566734	LOC100649017
N0.HOG0002060	OG0001804	n0	LOC126914191	LOC117204056	LOC122566735	LOC100643154
N0.HOG0002061	OG0001805	n0	LOC126914210	LOC117204198	LOC122566573	LOC100648781
N0.HOG0002062	OG0001806	n0	LOC126914224	LOC117204213	LOC122567210	LOC100650956
N0.HOG0002063	OG0001807	n0	LOC126914193	LOC117204066	LOC122566544	LOC100643798
N0.HOG0002064	OG0001808	n0	LOC126914220	LOC117204141	LOC122566541	LOC100642443
N0.HOG0002065	OG0001809	n0	LOC126914204	LOC117204248	LOC122566684	LOC100649403
N0.HOG0002066	OG0001810	n0	LOC126914207	LOC117204068	LOC122567184	LOC100646971
N0.HOG0002067	OG0001811	n0	LOC126914214	LOC117204106	LOC122567223	LOC100645749
N0.HOG0002068	OG0001812	n0	LOC126914996	LOC117204107	LOC122566774	LOC100645046
N0.HOG0002069	OG0001813	n0	LOC126915000	LOC117204241	LOC122566777	LOC100645163
N0.HOG0002070	OG0001814	n0	LOC126914990	LOC117204237	LOC122566772	LOC100644923
N0.HOG0002071	OG0001815	n0	LOC126914992	LOC117206756	LOC122566773	LOC100645439
N0.HOG0002072	OG0001816	n0	LOC126914999	LOC117208970	LOC122566775	LOC100645556
N0.HOG0002073	OG0001817	n0	LOC126914993	LOC117208937	LOC122567254	LOC100650921
N0.HOG0002074	OG0001818	n0	LOC126914995	LOC117208946	LOC122567255	LOC100651074
N0.HOG0002075	OG0001819	n0	LOC126914997	LOC117208952	LOC122567256	LOC100652034
N0.HOG0002076	OG0001820	n0	LOC126914994	LOC117208943	LOC122567258	LOC100649168
N0.HOG0002077	OG0001821	n0	LOC126914443	LOC117216877	LOC122567253	LOC100649921
N0.HOG0002078	OG0001822	n0	LOC126914441	LOC117216816	LOC122567251	LOC100648392
N0.HOG0002079	OG0001823	n0	LOC126914442	LOC117216849	LOC122566440	LOC100646583
N0.HOG0002080	OG0001824	n0	LOC126914453	LOC117216887	LOC122566441	LOC100648014
N0.HOG0002081	OG0001825	n0	LOC126914462	LOC117216892	LOC122566442	LOC100649086
N0.HOG0002082	OG0001826	n0	LOC126914474	LOC117216923	LOC122567007	LOC100642875
N0.HOG0002083	OG0001827	n0	LOC126914483	LOC117216938	LOC122567011	LOC105665655
N0.HOG0002084	OG0001828	n0	LOC126914465	LOC117216901	LOC122567006	LOC100651598
N0.HOG0002085	OG0001829	n0	LOC126914489	LOC117216947	LOC122567012	LOC105665656
N0.HOG0002086	OG0001830	n0	LOC126914463	LOC117216897	LOC122567005	LOC100644010
N0.HOG0002087	OG0001831	n0	LOC126914477	LOC117216931	LOC122567009	LOC100644842
N0.HOG0002088	OG0001832	n0	LOC126914445	LOC117208704	LOC122567003	LOC100646057
N0.HOG0002089	OG0001833	n0	LOC126914481	LOC117208718	LOC122567008	LOC100647612
N0.HOG0002090	OG0001834	n0	LOC126914449	LOC117205585	LOC122566992	LOC100649167
N0.HOG0002091	OG0001835	n0	LOC126914461	LOC117205326	LOC122566996	LOC100650637
N0.HOG0002092	OG0001836	n0	LOC126914440	LOC117209052	LOC122566989	LOC100651675
N0.HOG0002093	OG0001837	n0	LOC126914457	LOC117209058	LOC122566994	LOC100642722
N0.HOG0002094	OG0001838	n0	LOC126914459	LOC117206690	LOC122566995	LOC100645750
N0.HOG0002095	OG0001839	n0	LOC126914446	LOC117206660	LOC122566991	LOC100649408
N0.HOG0002096	OG0001840	n0	LOC126914488	LOC117206702	LOC122566999	LOC100648357
N0.HOG0002097	OG0001841	n0	LOC126914491	LOC117206708	LOC122567000	LOC100649447
N0.HOG0002098	OG0001842	n0	LOC126914181	LOC117206720	LOC122566998	LOC100649653
N0.HOG0002099	OG0001843	n0	LOC126914451	LOC117208221	LOC122566973	LOC100651917
N0.HOG0002100	OG0001844	n0	LOC126914486	LOC117208347	LOC122566988	LOC100648707
N0.HOG0002101	OG0001845	n0	LOC126914452	LOC117208243	LOC122566976	LOC100650480
N0.HOG0002102	OG0001846	n0	LOC126914466	LOC117208266	LOC122566980	LOC100651400
N0.HOG0002103	OG0001847	n0	LOC126914484	LOC117208332	LOC122566986	LOC100652230
N0.HOG0002104	OG0001848	n0	LOC126914473	LOC117208313	LOC122566983	LOC100643401
N0.HOG0002105	OG0001849	n0	LOC126914476	LOC117208320	LOC122566985	LOC100645442
N0.HOG0002106	OG0001850	n0	LOC126914464	LOC117208263	LOC122566979	LOC100644600
N0.HOG0002107	OG0001851	n0	LOC126914485	LOC117208340	LOC122566987	LOC100643760
N0.HOG0002108	OG0001852	n0	LOC126914458	LOC117208255	LOC122566977	LOC100642802
N0.HOG0002109	OG0001853	n0	LOC126914478	LOC117208326	LOC122567125	LOC100645672
N0.HOG0002110	OG0001854	n0	LOC126914493	LOC117208358	LOC122567129	LOC100645791
N0.HOG0002111	OG0001855	n0	LOC126914472	LOC117208293	LOC122567123	LOC100648088
N0.HOG0002112	OG0001856	n0	LOC126914444	LOC117208176	LOC122567120	LOC100649877
N0.HOG0002113	OG0001857	n0	LOC126914482	LOC117208334	LOC122567130	LOC105665699
N0.HOG0002114	OG0001858	n0	LOC126914447	LOC117208192	LOC122567121	LOC100648593
N0.HOG0002115	OG0001859	n0	LOC126914470	LOC117207578	LOC122567122	LOC100648705
N0.HOG0002116	OG0001860	n0	LOC126914475	LOC117207587	LOC122567124	LOC100648818
N0.HOG0002117	OG0001861	n0	LOC126914487	LOC117207612	LOC122567127	LOC100648934
N0.HOG0002118	OG0001862	n0	LOC126914492	LOC117207621	LOC122567128	LOC100649133
N0.HOG0002119	OG0001863	n0	LOC126914448	LOC117207388	LOC122566452	LOC100649254
N0.HOG0002120	OG0001864	n0	LOC126914454	LOC117207571	LOC122566453	LOC100649373
N0.HOG0002121	OG0001865	n0	LOC126914490	LOC117207651	LOC122566454	LOC105665700
N0.HOG0002122	OG0001866	n0	LOC126914479	LOC117207606	LOC122566621	LOC100650032
N0.HOG0002123	OG0001867	n0	LOC126914450	LOC117207434	LOC122566611	LOC100649494
N0.HOG0002124	OG0001868	n0	LOC126914106	LOC117207629	LOC122566624	LOC100650519
N0.HOG0002125	OG0001869	n0	LOC126914070	LOC117207594	LOC122566620	LOC100650397
N0.HOG0002126	OG0001870	n0	LOC126914016	LOC117207460	LOC122566612	LOC100650147
N0.HOG0002127	OG0001871	n0	LOC126913989	LOC117207383	LOC122566607	LOC125384910
N0.HOG0002128	OG0001872	n0	LOC126914018	LOC117207482	LOC122566614	LOC100650759
N0.HOG0002129	OG0001873	n0	LOC126914008	LOC117207404	LOC122566609	LOC100650636
N0.HOG0002130	OG0001874	n0	LOC126914032	LOC117207509	LOC122566617	LOC100651588
N0.HOG0002131	OG0001875	n0	LOC126914020	LOC117208765	LOC122566616	LOC100651195
N0.HOG0002132	OG0001876	n0	LOC126914103	LOC117208769	LOC122566623	LOC100651320
N0.HOG0002133	OG0001877	n0	LOC126913992	LOC117208753	LOC122566608	LOC100651439
N0.HOG0002134	OG0001878	n0	LOC126914019	LOC117212743	LOC122566615	LOC100650114
N0.HOG0002135	OG0001879	n0	LOC126913985	LOC117212685	LOC122566606	LOC100651558
N0.HOG0002136	OG0001880	n0	LOC126914096	LOC117212899	LOC122566622	LOC100650239
N0.HOG0002137	OG0001881	n0	LOC126914085	LOC117205390	LOC122566632	LOC100650360
N0.HOG0002138	OG0001882	n0	LOC126914101	LOC117204693	LOC122566553	LOC100651794
N0.HOG0002139	OG0001883	n0	LOC126913988	LOC117209124	LOC122566538	LOC100651915
N0.HOG0002140	OG0001884	n0	LOC126914006	LOC117209154	LOC122566486	LOC100652228
N0.HOG0002141	OG0001885	n0	LOC126914081	LOC117209106	LOC122566940	LOC105665702
N0.HOG0002142	OG0001886	n0	LOC126913990	LOC117209099	LOC122566935	LOC100650680
N0.HOG0002143	OG0001887	n0	LOC126914026	LOC117209102	LOC122566936	LOC100642200
N0.HOG0002144	OG0001888	n0	LOC126914091	LOC117209110	LOC122566941	LOC100643993
N0.HOG0002145	OG0001889	n0	LOC126914034	LOC117209190	LOC122566937	LOC100642322
N0.HOG0002146	OG0001890	n0	LOC126914060	LOC117209201	LOC122566938	LOC100642444
N0.HOG0002147	OG0001891	n0	LOC126914097	LOC117212478	LOC122566943	LOC100642801
N0.HOG0002148	OG0001892	n0	LOC126914066	LOC117212477	LOC122566939	LOC100642562
N0.HOG0002149	OG0001893	n0	LOC126914077	LOC117212483	LOC122566966	LOC100643238
N0.HOG0002150	OG0001894	n0	LOC126914104	LOC117212484	LOC122566968	LOC100643729
N0.HOG0002151	OG0001895	n0	LOC126914025	LOC117212479	LOC122566960	LOC100643480
N0.HOG0002152	OG0001896	n0	LOC126914045	LOC117212482	LOC122566964	LOC100643606
N0.HOG0002153	OG0001897	n0	LOC126914039	LOC117212480	LOC122566962	LOC100643359
N0.HOG0002154	OG0001898	n0	LOC126914057	LOC117212487	LOC122566965	LOC100643925
N0.HOG0002155	OG0001899	n0	LOC126914028	LOC117212485	LOC122566961	LOC100644051
N0.HOG0002156	OG0001900	n0	LOC126914083	LOC117212488	LOC122566967	LOC100644165
N0.HOG0002157	OG0001901	n0	LOC126914110	LOC117212497	LOC122566654	LOC100650922
N0.HOG0002158	OG0001902	n0	LOC126914184	LOC117212496	LOC122566543	LOC100644285
N0.HOG0002159	OG0001903	n0	LOC126914021	LOC117212494	LOC122566542	LOC100644394
N0.HOG0002160	OG0001904	n0	LOC126914068	LOC117212492	LOC122566535	LOC100644598
N0.HOG0002161	OG0001905	n0	LOC126914043	LOC117212490	LOC122566534	LOC100644715
N0.HOG0002162	OG0001906	n0	LOC126913975	LOC117212501	LOC122567171	LOC100644841
N0.HOG0002163	OG0001907	n0	LOC126914075	LOC117212505	LOC122567174	LOC105665661
N0.HOG0002164	OG0001908	n0	LOC126914050	LOC117212503	LOC122567173	LOC100644958
N0.HOG0002165	OG0001909	n0	LOC126914031	LOC117212502	LOC122567172	LOC100645073
N0.HOG0002166	OG0001910	n0	LOC126914073	LOC117204235	LOC122567186	LOC100645188
N0.HOG0002167	OG0001911	n0	LOC126914084	LOC117204052	LOC122566652	LOC100651155
N0.HOG0002168	OG0001912	n0	LOC126914090	LOC117204195	LOC122566426	LOC100645440
N0.HOG0002169	OG0001913	n0	LOC126914100	LOC117204050	LOC122566651	LOC100645869
N0.HOG0002170	OG0001914	n0	LOC126914107	LOC117204211	LOC122567247	LOC100645985
N0.HOG0002171	OG0001915	n0	LOC126914064	LOC117204207	LOC122566728	LOC100646104
N0.HOG0002172	OG0001916	n0	LOC126914004	LOC117204266	LOC122566727	LOC100646339
N0.HOG0002173	OG0001917	n0	LOC126914105	LOC117204284	LOC122566729	LOC100646463
N0.HOG0002174	OG0001918	n0	LOC126914055	LOC117204277	LOC122566758	LOC100646701
N0.HOG0002175	OG0001919	n0	LOC126914017	LOC117204268	LOC122566748	LOC100646898
N0.HOG0002176	OG0001920	n0	LOC126914027	LOC117204269	LOC122566750	LOC100647017
N0.HOG0002177	OG0001921	n0	LOC126914036	LOC117204270	LOC122566752	LOC100651279
N0.HOG0002178	OG0001922	n0	LOC126914037	LOC117204272	LOC122566751	LOC100647139
N0.HOG0002179	OG0001923	n0	LOC126914079	LOC117204279	LOC122566762	LOC100647653
N0.HOG0002180	OG0001924	n0	LOC126914089	LOC117204283	LOC122566765	LOC100647375
N0.HOG0002181	OG0001925	n0	LOC126914012	LOC117204267	LOC122566747	LOC100647256
N0.HOG0002182	OG0001926	n0	LOC126914088	LOC117204282	LOC122566764	LOC100647893
N0.HOG0002183	OG0001927	n0	LOC126914080	LOC117204281	LOC122566763	LOC100647768
N0.HOG0002184	OG0001928	n0	LOC126914053	LOC117204275	LOC122566756	LOC100648201
N0.HOG0002185	OG0001929	n0	LOC126914000	LOC117204264	LOC122566745	LOC100651519
N0.HOG0002186	OG0001930	n0	LOC126914065	LOC117204288	LOC122566760	LOC100651637
N0.HOG0002187	OG0001931	n0	LOC126913999	LOC117204049	LOC122566744	LOC100648316
N0.HOG0002188	OG0001932	n0	LOC126913991	LOC117204261	LOC122566743	LOC100648551
N0.HOG0002189	OG0001933	n0	LOC126914052	LOC117204276	LOC122566755	LOC100648742
N0.HOG0002190	OG0001934	n0	LOC126913977	LOC117204260	LOC122566742	LOC100648856
N0.HOG0002191	OG0001935	n0	LOC126914069	LOC117204278	LOC122566761	LOC100649206
N0.HOG0002192	OG0001936	n0	LOC126914042	LOC117204273	LOC122566753	LOC100648971
N0.HOG0002193	OG0001937	n0	LOC126914046	LOC117204274	LOC122566754	LOC100649407
N0.HOG0002194	OG0001938	n0	LOC126914014	LOC117204054	LOC122566749	LOC100649529
N0.HOG0002195	OG0001939	n0	LOC126914099	LOC117204136	LOC122566766	LOC100649652
N0.HOG0002196	OG0001940	n0	LOC126914078	LOC117204134	LOC122567075	LOC100649876
N0.HOG0002197	OG0001941	n0	LOC126914011	LOC117204128	LOC122566920	LOC100650072
N0.HOG0002198	OG0001942	n0	LOC126914023	LOC117204129	LOC122566921	LOC100650195
N0.HOG0002199	OG0001943	n0	LOC126914058	LOC117204132	LOC122566923	LOC100650435
N0.HOG0002200	OG0001944	n0	LOC126914063	LOC117204133	LOC122566925	LOC100650679
N0.HOG0002201	OG0001945	n0	LOC126914095	LOC117204135	LOC122566929	LOC105665666
N0.HOG0002202	OG0001946	n0	LOC126914040	LOC117204130	LOC122566922	LOC100650556
N0.HOG0002203	OG0001947	n0	LOC126913976	LOC117204251	LOC122566917	LOC100650805
N0.HOG0002204	OG0001948	n0	LOC126914007	LOC117204036	LOC122566919	LOC100650920
N0.HOG0002205	OG0001949	n0	LOC126914086	LOC117204038	LOC122566927	LOC100651123
N0.HOG0002206	OG0001950	n0	LOC126914076	LOC117204037	LOC122566926	LOC100651243
N0.HOG0002207	OG0001951	n0	LOC126913995	LOC117204020	LOC122567181	LOC100651363
N0.HOG0002208	OG0001952	n0	LOC126914013	LOC117204021	LOC122567182	LOC100651480
N0.HOG0002209	OG0001953	n0	LOC126913994	LOC117204019	LOC122567180	LOC100651716
N0.HOG0002210	OG0001954	n0	LOC126914002	LOC117204296	LOC122567131	LOC100651833
N0.HOG0002211	OG0001955	n0	LOC126914087	LOC117204067	LOC122567134	LOC100652035
N0.HOG0002212	OG0001956	n0	LOC126914048	LOC117204208	LOC122567133	LOC100652156
N0.HOG0002213	OG0001957	n0	LOC126914049	LOC117204197	LOC122567198	LOC100652273
N0.HOG0002214	OG0001958	n0	LOC126914038	LOC117204022	LOC122567199	LOC100642241
N0.HOG0002215	OG0001959	n0	LOC126914047	LOC117204044	LOC122566809	LOC100642633
N0.HOG0002216	OG0001960	n0	LOC126914022	LOC117204042	LOC122566807	LOC100642363
N0.HOG0002217	OG0001961	n0	LOC126914030	LOC117204043	LOC122566808	LOC100651875
N0.HOG0002218	OG0001962	n0	LOC126913984	LOC117204039	LOC122566806	LOC100651991
N0.HOG0002219	OG0001963	n0	LOC126914093	LOC117204034	LOC122567193	LOC100643115
N0.HOG0002220	OG0001964	n0	LOC126914094	LOC117204035	LOC122567191	LOC100643278
N0.HOG0002221	OG0001965	n0	LOC126914072	LOC117204031	LOC122567190	LOC105665670
N0.HOG0002222	OG0001966	n0	LOC126914051	LOC117204102	LOC122566555	LOC100643522
N0.HOG0002223	OG0001967	n0	LOC126914024	LOC117204210	LOC122567211	LOC100643644
N0.HOG0002224	OG0001968	n0	LOC126914044	LOC117204108	LOC122566548	LOC105665671
N0.HOG0002225	OG0001969	n0	LOC126914071	LOC117204099	LOC122567185	LOC100643884
N0.HOG0002226	OG0001970	n0	LOC126914082	LOC117204100	LOC122567187	LOC100644125
N0.HOG0002227	OG0001971	n0	LOC126914035	LOC117204098	LOC122566549	LOC100643759
N0.HOG0002228	OG0001972	n0	LOC126914136	LOC117204236	LOC122567250	LOC100644248
N0.HOG0002229	OG0001973	n0	LOC126914313	LOC117204229	LOC122566443	LOC100644363
N0.HOG0002230	OG0001974	n0	LOC126914984	LOC117204202	LOC122566447	LOC100642202
N0.HOG0002231	OG0001975	n0	LOC126914987	LOC117204227	LOC122567222	LOC100642324
N0.HOG0002232	OG0001976	n0	LOC126914988	LOC117204212	LOC122566540	LOC100644481
N0.HOG0002233	OG0001977	n0	LOC126914986	LOC117204095	LOC122566539	LOC100644599
N0.HOG0002234	OG0001978	n0	LOC126914239	LOC117204047	LOC122566649	LOC100642446
N0.HOG0002235	OG0001979	n0	LOC126914985	LOC117204243	LOC122566702	LOC100644716
N0.HOG0002236	OG0001980	n0	LOC126914989	LOC117204247	LOC122566705	LOC100642564
N0.HOG0002237	OG0001981	n0	LOC126914144	LOC117204242	LOC122566701	LOC105665673
N0.HOG0002238	OG0001982	n0	LOC126914160	LOC117204245	LOC122566704	LOC100645189
N0.HOG0002239	OG0001983	n0	LOC126914164	LOC117204246	LOC122566706	LOC100644959
N0.HOG0002240	OG0001984	n0	LOC126914157	LOC117204092	LOC122566703	LOC100645318
N0.HOG0002241	OG0001985	n0	LOC126914165	LOC117204254	LOC122566603	LOC100645441
N0.HOG0002242	OG0001986	n0	LOC126914137	LOC117204252	LOC122566597	LOC100642686
N0.HOG0002243	OG0001987	n0	LOC126914148	LOC117204076	LOC122566599	LOC100645589
N0.HOG0002244	OG0001988	n0	LOC126914159	LOC117204077	LOC122566602	LOC100645826
N0.HOG0002245	OG0001989	n0	LOC126914167	LOC117204078	LOC122566604	LOC100645941
N0.HOG0002246	OG0001990	n0	LOC126914156	LOC117204140	LOC122566600	LOC100645708
N0.HOG0002247	OG0001991	n0	LOC126914140	LOC117204137	LOC122567059	LOC100646174
N0.HOG0002248	OG0001992	n0	LOC126914154	LOC117204226	LOC122567168	LOC100646290
N0.HOG0002249	OG0001993	n0	LOC126914241	LOC117204046	LOC122566648	LOC105665703
N0.HOG0002250	OG0001994	n0	LOC126914143	LOC117204091	LOC122566445	LOC105665676
N0.HOG0002251	OG0001995	n0	LOC126914168	LOC117204683	LOC122566596	LOC105665704
N0.HOG0002252	OG0001996	n0	LOC126914141	LOC117204665	LOC122566594	LOC100642922
N0.HOG0002253	OG0001997	n0	LOC126914152	LOC117207384	LOC122566813	LOC100646619
N0.HOG0002254	OG0001998	n0	LOC126914155	LOC117207385	LOC122566816	LOC100646737
N0.HOG0002255	OG0001999	n0	LOC126914163	LOC117207387	LOC122566818	LOC100646860
N0.HOG0002256	OG0002000	n0	LOC126914162	LOC117207386	LOC122566819	LOC100647095
N0.HOG0002257	OG0002001	n0	LOC126914166	LOC117207389	LOC122566817	LOC100647496
N0.HOG0002258	OG0002002	n0	LOC126914153	LOC117207382	LOC122566814	LOC100647215
N0.HOG0002259	OG0002003	n0	LOC126914145	LOC117207364	LOC122566811	LOC100647726
N0.HOG0002260	OG0002004	n0	LOC126914149	LOC117207353	LOC122566810	LOC100648432
N0.HOG0002261	OG0002005	n0	LOC126914150	LOC117207356	LOC122566465	LOC100648089
N0.HOG0002262	OG0002006	n0	LOC126914147	LOC117207354	LOC122566463	LOC100647962
N0.HOG0002263	OG0002007	n0	LOC126914609	LOC117207377	LOC122566474	LOC100648972
N0.HOG0002264	OG0002008	n0	LOC126914580	LOC117207369	LOC122566464	LOC100648626
N0.HOG0002265	OG0002009	n0	LOC126914576	LOC117207367	LOC122566462	LOC100647842
N0.HOG0002266	OG0002010	n0	LOC126914608	LOC117207374	LOC122566473	LOC100648857
N0.HOG0002267	OG0002011	n0	LOC126914601	LOC117207373	LOC122566472	LOC100648743
N0.HOG0002268	OG0002012	n0	LOC126914612	LOC117207378	LOC122566475	LOC100649287
N0.HOG0002269	OG0002013	n0	LOC126914586	LOC117207372	LOC122566470	LOC100649619
N0.HOG0002270	OG0002014	n0	LOC126914582	LOC117207370	LOC122566468	LOC105665678
N0.HOG0002271	OG0002015	n0	LOC126914584	LOC117207371	LOC122566469	LOC100649495
N0.HOG0002272	OG0002016	n0	LOC126914614	LOC117207379	LOC122566476	LOC100649726
N0.HOG0002273	OG0002017	n0	LOC126914581	LOC117207381	LOC122566467	LOC100650073
N0.HOG0002274	OG0002018	n0	LOC126914242	LOC117207394	LOC122566647	LOC100650196
N0.HOG0002275	OG0002019	n0	LOC126914585	LOC117207365	LOC122566530	LOC100650318
N0.HOG0002276	OG0002020	n0	LOC126914243	LOC117207363	LOC122566448	LOC105665706
N0.HOG0002277	OG0002021	n0	LOC126914575	LOC117207366	LOC122566491	LOC100650436
N0.HOG0002278	OG0002022	n0	LOC126914577	LOC117207350	LOC122567241	LOC100643156
N0.HOG0002279	OG0002023	n0	LOC126914578	LOC117207338	LOC122567226	LOC100650999
N0.HOG0002280	OG0002024	n0	LOC126914613	LOC117207349	LOC122567240	LOC100651124
N0.HOG0002281	OG0002025	n0	LOC126914607	LOC117207345	LOC122567235	LOC100651795
N0.HOG0002282	OG0002026	n0	LOC126914610	LOC117207346	LOC122567238	LOC100643280
N0.HOG0002283	OG0002027	n0	LOC126914583	LOC117207340	LOC122567229	LOC100651559
N0.HOG0002284	OG0002028	n0	LOC126914606	LOC117207359	LOC122567234	LOC100642484
